City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Puerto Ayacucho,VE,5.6639,-67.6236,1622657738,100,80,26.36,1.55
Pangody,RU,65.85,74.4859,1622657738,82,64,2.9,3.3
Mount Gambier,AU,-37.8333,140.7667,1622657739,90,93,8.95,0.0
Leshukonskoye,RU,64.8989,45.7622,1622657739,100,78,6.95,4.13
Lebu,CL,-37.6167,-73.65,1622657739,56,77,14.0,2.24
Airai,TL,-8.9266,125.4092,1622657740,94,89,13.62,1.08
Baker City,US,44.7749,-117.8344,1622657740,1,39,28.85,0.0
Cayenne,GF,4.9333,-52.3333,1622657750,75,80,29.49,0.89
Santa Fe,AR,-31.6333,-60.7,1622657751,90,36,25.0,0.89
Lucknow,IN,26.85,80.9167,1622657709,0,70,28.99,2.3
Lorengau,PG,-2.0226,147.2712,1622657751,95,87,26.34,2.03
Nadvoitsy,RU,63.8667,34.3167,1622657752,92,61,15.09,0.88
Walvis Bay,NA,-22.9575,14.5053,1622657678,0,42,20.53,6.86
Clyde River,CA,70.4692,-68.5914,1622657754,90,93,-2.87,2.57
Alenquer,BR,-1.9417,-54.7383,1622657754,31,66,31.19,1.05
Banugao,PH,14.7333,121.6333,1622657755,100,87,27.75,6.11
Las Matas de Farfán,DO,18.8731,-71.5166,1622657756,76,50,30.42,2.33
Warwick,US,41.7001,-71.4162,1622657756,75,61,29.37,5.14
Maceió,BR,-9.6658,-35.7353,1622657756,40,69,28.69,4.51
Pacifica,US,37.6138,-122.4869,1622657757,20,77,24.21,1.34
Ambanja,MG,-13.6833,48.45,1622657757,37,83,22.29,1.33
Hithadhoo,MV,-0.6,73.0833,1622657703,71,68,28.79,7.71
Port Macquarie,AU,-31.4333,152.9167,1622657758,55,81,11.32,2.82
Talcahuano,CL,-36.7167,-73.1167,1622657758,90,88,14.82,3.09
Chui,UY,-33.6971,-53.4616,1622657758,24,55,17.83,5.8
Chiang Khong,TH,20.2613,100.4046,1622657759,84,70,27.18,0.4
Vostok,RU,46.4856,135.8833,1622657759,100,67,9.98,2.18
Waddān,LY,29.1614,16.139,1622657759,100,14,36.84,6.2
Troitsko-Pechorsk,RU,62.7084,56.1964,1622657760,89,72,8.49,4.72
Murmashi,RU,68.8154,32.8115,1622657760,0,31,23.23,2.0
Iqaluit,CA,63.7506,-68.5145,1622657761,90,93,0.85,5.36
Bandarbeyla,SO,9.4942,50.8122,1622657761,97,72,27.99,9.64
Yellowknife,CA,62.456,-114.3525,1622657764,40,77,15.74,0.45
Port Hedland,AU,-20.3167,118.5667,1622657764,94,37,21.03,4.63
Vila Velha,BR,-20.3297,-40.2925,1622657765,0,72,27.76,2.68
Mutoko,ZW,-17.397,32.2268,1622657765,83,66,17.38,0.4
Ende,ID,-8.8432,121.6623,1622657765,55,89,25.11,1.0
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1622657611,44,93,-0.67,2.11
Usoke,TZ,-5.1667,32.35,1622657766,80,54,20.88,1.38
Yerbogachën,RU,61.2767,108.0108,1622657766,1,54,14.14,1.49
Rome,US,43.2128,-75.4557,1622657531,75,67,24.1,2.57
Cabo San Lucas,MX,22.8909,-109.9124,1622657767,40,40,33.61,5.14
Departamento de Maldonado,UY,-34.6667,-54.9167,1622657490,42,64,13.66,6.96
Vila,PT,42.0304,-8.1588,1622657769,100,86,15.97,1.67
Wiwilí,NI,13.6268,-85.8254,1622657769,27,31,32.41,4.2
Uzunovo,RU,54.5386,38.6173,1622657769,38,86,10.26,3.96
Thinadhoo,MV,0.5333,72.9333,1622657769,92,73,28.56,6.72
Te Karaka,NZ,-38.4654,177.8679,1622657770,59,92,5.27,0.95
Guerrero Negro,MX,27.9769,-114.0611,1622657770,6,53,21.92,4.76
Geraldton,AU,-28.7667,114.6,1622657770,0,87,11.74,4.39
San Patricio,US,28.017,-97.5169,1622657771,99,57,31.62,3.02
Bismarck,US,46.8083,-100.7837,1622657771,1,32,28.91,2.57
Arraial do Cabo,BR,-22.9661,-42.0278,1622657771,0,73,26.98,4.63
Rawson,AR,-43.3002,-65.1023,1622657772,67,53,9.4,5.01
Kiryat Gat,IL,31.61,34.7642,1622657772,0,14,23.23,4.1
Minas,UY,-34.3759,-55.2377,1622657782,65,64,13.26,6.91
Chapais,CA,49.7834,-74.8492,1622657783,99,47,17.88,2.99
Narsaq,GL,60.9167,-46.05,1622657783,100,66,11.12,6.11
Dzhebariki-Khaya,RU,62.2167,135.8,1622657783,48,92,8.39,1.62
Palmerston North,NZ,-40.35,175.6167,1622657723,2,96,6.31,0.9
Solana Beach,US,32.9912,-117.2711,1622657784,90,81,31.8,1.34
Jonava,LT,55.0833,24.2833,1622657784,0,42,19.03,2.68
Xai-Xai,MZ,-25.0519,33.6442,1622657785,67,89,18.45,1.68
Cheney,US,47.4874,-117.5758,1622657785,1,31,31.18,2.48
Bereket,TM,39.2446,55.5154,1622657786,0,11,35.91,3.75
Moussoro,TD,13.6408,16.4901,1622657786,81,21,36.19,2.79
Coyhaique,CL,-45.5752,-72.0662,1622657786,90,87,6.34,2.57
North Bend,US,43.4065,-124.2243,1622657787,20,80,27.19,3.6
Nuuk,GL,64.1835,-51.7216,1622657787,75,70,6.34,7.2
Zhangye,CN,38.9342,100.4517,1622657402,100,16,15.3,1.01
Poso,ID,-1.3959,120.7524,1622657788,70,74,27.41,2.22
Moncton,CA,46.1159,-64.8019,1622657788,75,41,24.27,7.2
Kitzbühel,AT,47.4464,12.3922,1622657788,81,94,21.88,2.22
Constitución,CL,-35.3333,-72.4167,1622657789,55,70,17.1,4.79
Pantai Remis,MY,4.4557,100.6288,1622657493,85,86,26.39,1.16
Bilibino,RU,68.0546,166.4372,1622657789,19,50,12.22,1.73
Kavaratti,IN,10.5669,72.642,1622657790,24,76,28.65,7.29
Cabedelo,BR,-6.9811,-34.8339,1622657790,14,68,28.37,5.97
Port Blair,IN,11.6667,92.75,1622657790,43,75,28.64,1.65
Mulchén,CL,-37.7167,-72.2333,1622657791,73,71,14.92,0.99
Kantunilkín,MX,21.0917,-87.45,1622657791,27,50,30.91,1.98
Severo-Kuril'sk,RU,50.6789,156.125,1622657791,25,90,4.36,3.69
Hokitika,NZ,-42.7167,170.9667,1622657792,97,79,10.45,1.62
Guanambi,BR,-14.2233,-42.7814,1622657792,3,25,32.72,3.33
Atar,MR,20.5169,-13.0499,1622657792,40,23,42.03,5.14
Port Keats,AU,-14.25,129.55,1622657793,47,72,23.62,0.96
Baft,IR,29.234,56.6057,1622657793,96,12,28.34,5.63
Berlevåg,NO,70.8578,29.0864,1622657793,0,42,17.97,4.63
Carnarvon,AU,-24.8667,113.6333,1622657794,73,77,14.04,4.63
Nabire,ID,-3.3667,135.4833,1622657338,74,92,23.97,1.6
Hong Kong,HK,22.2855,114.1577,1622657520,86,90,29.62,1.34
Vila Franca do Campo,PT,37.7167,-25.4333,1622657795,73,57,18.23,4.44
San Ramon,US,37.7799,-121.978,1622657647,1,65,24.63,0.45
Aarhus,DK,56.1567,10.2108,1622657795,6,75,16.88,4.84
Dayong,CN,25.0209,118.2898,1622657796,100,94,25.82,1.14
Mabaruma,GY,8.2,-59.7833,1622657796,76,67,28.87,2.95
Bubaque,GW,11.2833,-15.8333,1622657796,71,77,26.51,6.75
Codrington,AU,-38.2667,141.9667,1622657797,61,85,9.12,3.54
Iralaya,HN,15.0,-83.2333,1622657797,21,69,32.05,4.19
Los Alamos,US,35.8881,-106.307,1622657797,40,44,23.29,0.45
Iaciara,BR,-14.0958,-46.6317,1622657798,0,22,33.74,0.95
São José da Coroa Grande,BR,-8.8978,-35.1478,1622657798,44,64,27.2,4.01
Lismore,AU,-28.8135,153.2773,1622657615,83,95,13.73,2.06
Bowen,AU,-20.0167,148.2333,1622657799,96,87,16.12,2.94
Krasnosel'kup,RU,65.7,82.4667,1622657799,100,61,4.17,3.72
Bilma,NE,18.6853,12.9164,1622657800,2,8,36.93,2.32
Nichinan,JP,31.6,131.3667,1622657800,100,84,20.67,1.97
Shingū,JP,33.7333,135.9833,1622657526,99,93,17.73,2.74
Murgab,TM,37.4966,61.9714,1622657811,0,33,32.93,3.73
Ulaanbaatar,MN,47.9077,106.8832,1622657598,0,93,4.07,1.48
Stykkisholmur,IS,65.0757,-22.7297,1622657811,62,73,8.16,3.47
Hasaki,JP,35.7333,140.8333,1622657621,100,80,17.94,4.62
Brownsville,US,25.9018,-97.4975,1622657813,75,72,31.05,1.79
Jutaí,BR,-5.1833,-68.9,1622657813,57,51,32.19,1.16
Orán,AR,-23.1322,-64.326,1622657813,0,37,28.01,2.25
Bollnäs,SE,61.3482,16.3946,1622657814,22,51,16.88,3.11
Hervey Bay,AU,-25.2986,152.8535,1622657814,7,76,19.46,2.09
Inuvik,CA,68.3499,-133.7218,1622657814,90,90,1.48,3.09
Naze,JP,28.3667,129.4833,1622657795,100,88,22.89,5.3
Ust'-Omchug,RU,61.15,149.6333,1622657816,24,89,2.15,1.57
Tefé,BR,-3.3542,-64.7114,1622657816,40,79,30.06,2.57
Dărmăneşti,RO,46.3667,26.4833,1622657816,100,81,12.48,3.15
Kamenka,RU,51.3223,42.7678,1622657817,100,69,15.18,8.58
Maragogi,BR,-9.0122,-35.2225,1622657817,46,66,26.99,3.87
Olafsvik,IS,64.8945,-23.7142,1622657817,47,76,7.53,4.99
Tommot,RU,58.9564,126.2925,1622657818,43,93,7.77,0.76
Am Timan,TD,11.0297,20.2827,1622657819,96,45,30.56,5.63
Tayturka,RU,52.8692,103.4608,1622657819,5,75,11.08,1.39
Øksfjord,NO,70.2396,22.3479,1622657820,4,50,19.04,1.64
Kirensk,RU,57.7853,108.1119,1622657821,88,54,13.75,0.34
Victoria Point,AU,-27.5833,153.3,1622657822,82,93,16.62,1.69
West Helena,US,34.5507,-90.6418,1622657822,69,58,26.82,5.97
Olinda,BR,-8.0089,-34.8553,1622657790,40,65,26.85,4.76
São Miguel do Araguaia,BR,-13.275,-50.1628,1622657823,1,23,34.19,2.12
General Pico,AR,-35.6566,-63.7568,1622657823,20,41,14.62,0.57
Maltahöhe,NA,-24.8333,16.9833,1622657823,0,27,10.48,5.06
Pangkalanbuun,ID,-2.6833,111.6167,1622657824,25,96,23.7,1.26
Sambava,MG,-14.2667,50.1667,1622657794,74,87,23.29,5.25
Vrangel',RU,42.7297,133.0839,1622657824,93,92,12.04,3.34
Sayyan,YE,15.1718,44.3244,1622657825,69,20,20.36,7.16
Zhob,PK,31.3411,69.4481,1622657825,3,38,27.95,1.87
Aquiraz,BR,-3.9014,-38.3911,1622657791,27,56,31.23,4.28
Marawi,PH,7.9986,124.2928,1622657826,100,85,19.8,2.37
Napoleon,US,41.3923,-84.1252,1622657826,100,91,18.31,3.37
Astoria,US,46.1879,-123.8313,1622657735,1,75,26.16,3.09
Beringovskiy,RU,63.05,179.3167,1622657827,23,81,-0.55,3.29
Bethel,US,41.3712,-73.414,1622657573,20,55,27.12,4.12
Marquette,US,46.5333,-87.6335,1622657828,95,59,25.43,3.98
Magway,MM,20.15,94.9167,1622657828,10,64,29.59,3.84
Bosobolo,CD,4.1833,19.9,1622657828,82,85,21.63,0.86
Baiyin,CN,36.5583,104.2081,1622657536,100,15,11.49,3.52
Aykhal,RU,66.0,111.5,1622657808,91,63,14.01,2.62
Bahía Blanca,AR,-38.7196,-62.2724,1622657807,33,45,12.29,4.17
Mamu Kanjan,PK,30.8333,72.8,1622657830,0,41,30.97,3.72
Camaná,PE,-16.6228,-72.7111,1622657830,52,77,19.73,2.92
Pemangkat,ID,1.1667,108.9667,1622657794,98,83,27.02,0.7
Ingham,US,42.6,-84.3833,1622657831,75,58,24.57,6.69
Pacific Grove,US,36.6177,-121.9166,1622657807,75,86,24.53,1.34
Khandyga,RU,62.6667,135.6,1622657841,43,91,8.68,0.89
Nago,JP,26.5881,127.9761,1622657626,100,96,26.24,2.54
Minbu,MM,20.1833,94.8833,1622657842,10,64,29.68,4.0
Shitanjing,CN,39.2342,106.3439,1622657796,71,40,12.05,4.24
Stephenville,US,32.2207,-98.2023,1622657843,1,65,25.43,2.57
Cedral,MX,23.8,-100.7333,1622657845,96,44,23.18,3.8
Tshane,BW,-24.0196,21.8684,1622657845,0,31,10.72,4.2
Pangnirtung,CA,66.1451,-65.7125,1622657845,90,93,1.0,4.63
San Cristobal,VE,7.7669,-72.225,1622657846,100,52,28.1,2.56
Novy Urengoy,RU,66.0833,76.6333,1622657847,90,56,3.63,3.38
Seoul,KR,37.5683,126.9778,1622657502,0,88,18.73,0.44
Lixouri,GR,38.2019,20.4314,1622657847,20,88,19.92,4.16
Southbridge,US,42.0751,-72.0334,1622657815,100,42,27.75,2.62
Acacoyagua,MX,15.35,-92.65,1622657849,13,58,29.58,2.15
Biak,ID,-0.9131,122.8766,1622657849,99,80,24.15,2.32
Yabassi,CM,4.457,9.9682,1622657849,100,98,24.16,0.74
Soyo,AO,-6.1349,12.3689,1622657840,4,84,25.09,3.52
Lusambo,CD,-4.9667,23.45,1622657850,88,47,26.15,0.27
Conceição das Alagoas,BR,-19.9147,-48.3883,1622657826,35,31,29.88,2.3
Sri Aman,MY,1.2376,111.4621,1622657851,99,94,25.03,0.0
Zheleznodorozhnyy,RU,55.7503,38.0042,1622657800,77,68,17.29,3.64
Broome,US,42.2506,-75.833,1622657851,90,82,19.75,0.89
